viaje	coordenadas	completado
parque tatama	5.112938933816516, -76.0963019064132	FALSE
termales santa rosa de cabal	4.849287353294173, -75.5331344824096	FALSE
balsaje rio la vieja	4.622447580639427, -75.85331242303131	FALSE
jardin botanico de marsella	4.936459012324927, -75.73681769744447	FALSE
viaducto cesar gaviria trujillo	4.81797197965873, -75.68606129369165	TRUE
zoologico ukumari	4.801684158954471, -75.8121367278122	TRUE
mirador chipre	5.074351933506935, -75.52737572724548	TRUE
paraiso del bambu y la guadua	4.520283450377474, -75.80067369728326	FALSE
parque del cafe	4.541349698824667, -75.77144325831505	TRUE
valle del cocora	4.635930804106274, -75.48701127895238	TRUE
recinto el pensamiento	5.039997635394895, -75.44624713670825	FALSE
iglesia nuestra señora del camen	4.809219990429047, -75.69175604667703	TRUE
ecoparque los yarumos	5.06269724186896, -75.48240072911844	FALSE
parque de los arrieros	4.580017308506319, -75.78079699106345	TRUE
ecoparque alcazares arenillo	5.0657411294343335, -75.530285773554	FALSE
recuca	4.432467213650445, -75.73337920242929	FALSE
pueblito viejo	5.608139929655136, -75.45144250910614	FALSE
parroquia maria inmaculada	4.63715138003882, -75.57153520958637	TRUE
cascada rio verde	4.403016354919349, -75.65827956981812	FALSE
catedral la inmaculada concepcion	4.53195911637022, -75.672762773282	TRUE
parque consota	4.798841155140582, -75.80569861904834	FALSE
alto del nido	4.8689908329259906, -75.70957107654331	FALSE
parque nacional de los nevados	4.890165096459326, -75.32045173841007	TRUE
catedral basilica de nuestra señora del rosario	5.067269749893168, -75.51727877019452	FALSE
museo del oro quimbaya	4.571173991421433, -75.64826879513909	TRUE
panaca	4.607650679506341, -75.81870574560396	TRUE
la catedral nuestra señora del camen	5.06055569137261, -75.51939163402312	TRUE
mirador de filandia	4.668211362341701, -75.66610794862893	TRUE
parque de la vida	4.548436739826702, -75.65993797364736	TRUE
cementerio libre de circasia	4.6181605190442845, -75.64257014507541	TRUE